Indexer Initialized. Flattened 840 sets into vectors of size 2520

Building Static Game Trees in RAM...
Detected 10 CPU Cores.
Starting multithreaded CFR Training (10000000 games total)...

Time:  13.9738 seconds
Speed: 715623 games/sec

Training Complete.

=== LEARNED STRATEGY (Atomic Based) ===
Info Set (Card:Hist)     Fold           Call/Check     Bet/Raise      
K:Q:rrrccrrrr            0.101          0.899          0.000          
K:Q:rrrcr                0.000          0.996          0.003          
K:Q:rrrcrr               0.030          0.732          0.238          
K:Q:rrrcrrr              0.096          0.201          0.703          
K:Q:rrrcrrrr             0.009          0.991          0.000          
K:Q:rrrrc                0.000          0.921          0.078          
K:Q:rrrrcc               0.001          0.342          0.657          
K:Q:rrrrccr              0.000          0.997          0.003          
K:Q:rrrrccrr             0.000          0.992          0.008          
K:Q:rrrrccrrr            0.010          0.198          0.791          
K:Q:rrrrccrrrr           0.075          0.925          0.000          
K:Q:rrrrcr               0.001          0.982          0.017          
K:Q:rrrrcrr              0.001          0.749          0.250          
K:Q:rrrrcrrr             0.023          0.154          0.824          
K:Q:rrrrcrrrr            0.002          0.998          0.000          
Q:*:                     0.004          0.568          0.428          
Q:*:c                    0.003          0.553          0.444          
Q:*:cr                   0.002          0.944          0.054          
Q:*:crr                  0.002          0.929          0.069          
Q:*:crrr                 0.011          0.427          0.561          
Q:*:crrrr                0.016          0.984          0.000          
Q:*:r                    0.003          0.780          0.217          
Q:*:rr                   0.002          0.985          0.012          
Q:*:rrr                  0.005          0.822          0.173          
Q:*:rrrr                 0.098          0.902          0.000          
Q:J:cc                   0.002          0.824          0.174          
Q:J:ccc                  0.002          0.626          0.372          
Q:J:cccr                 0.999          0.000          0.000          
Q:J:cccrr                0.997          0.002          0.002          
Q:J:cccrrr               0.333          0.333          0.333          
Q:J:cccrrrr              0.500          0.500          0.000          
Q:J:ccr                  0.924          0.002          0.074          
Q:J:ccrr                 0.993          0.003          0.003          
Q:J:ccrrr                0.983          0.009          0.009          
Q:J:ccrrrr               0.500          0.500          0.000          
Q:J:crc                  0.115          0.513          0.372          
Q:J:crcc                 0.002          0.622          0.375          
Q:J:crccr                0.949          0.029          0.021          
Q:J:crccrr               0.867          0.023          0.110          
Q:J:crccrrr              0.983          0.006          0.010          
Q:J:crccrrrr             0.989          0.011          0.000          
Q:J:crcr                 0.994          0.004          0.003          
Q:J:crcrr                0.999          0.000          0.000          
Q:J:crcrrr               0.295          0.295          0.410          
Q:J:crcrrrr              0.500          0.500          0.000          
Q:J:crrc                 0.011          0.381          0.609          
Q:J:crrcc                0.230          0.420          0.350          
Q:J:crrccr               0.855          0.108          0.037          
Q:J:crrccrr              0.998          0.000          0.001          
Q:J:crrccrrr             0.086          0.085          0.830          
Q:J:crrccrrrr            0.699          0.301          0.000          
Q:J:crrcr                0.540          0.330          0.130          
Q:J:crrcrr               0.987          0.007          0.006          
Q:J:crrcrrr              0.995          0.002          0.003          
Q:J:crrcrrrr             0.500          0.500          0.000          
Q:J:crrrc                0.011          0.975          0.014          
Q:J:crrrcc               0.011          0.912          0.078          
Q:J:crrrccr              0.940          0.010          0.051          
Q:J:crrrccrr             0.488          0.451          0.061          
Q:J:crrrccrrr            0.049          0.023          0.927          
Q:J:crrrccrrrr           0.500          0.500          0.000          
Q:J:crrrcr               0.809          0.120          0.071          
Q:J:crrrcrr              0.370          0.392          0.238          
Q:J:crrrcrrr             0.052          0.055          0.893          
Q:J:crrrcrrrr            0.510          0.490          0.000          
Q:J:crrrrc               0.303          0.280          0.417          
Q:J:crrrrcc              0.006          0.954          0.041          
Q:J:crrrrccr             0.340          0.080          0.580          
Q:J:crrrrccrr            0.170          0.757          0.073          
Q:J:crrrrccrrr           0.003          0.003          0.995          
Q:J:crrrrccrrrr          0.500          0.500          0.000          
Q:J:crrrrcr              0.229          0.677          0.094          
Q:J:crrrrcrr             0.842          0.123          0.035          
Q:J:crrrrcrrr            0.304          0.206          0.490          
Q:J:crrrrcrrrr           0.868          0.132          0.000          
Q:J:rc                   0.002          0.716          0.282          
Q:J:rcc                  0.001          0.702          0.297          
Q:J:rccr                 0.994          0.004          0.002          
Q:J:rccrr                0.997          0.001          0.001          
Q:J:rccrrr               0.230          0.223          0.547          
Q:J:rccrrrr              0.500          0.500          0.000          
Q:J:rcr                  0.846          0.041          0.113          
Q:J:rcrr                 0.994          0.003          0.003          
Q:J:rcrrr                0.993          0.004          0.004          
Q:J:rcrrrr               0.500          0.500          0.000          
Q:J:rrc                  0.598          0.348          0.054          
Q:J:rrcc                 0.005          0.671          0.325          
Q:J:rrccr                0.794          0.076          0.130          
Q:J:rrccrr               0.738          0.042          0.221          
Q:J:rrccrrr              0.994          0.002          0.004          
Q:J:rrccrrrr             0.989          0.011          0.000          
Q:J:rrcr                 0.735          0.179          0.086          
Q:J:rrcrr                0.990          0.005          0.005          
Q:J:rrcrrr               0.849          0.018          0.134          
Q:J:rrcrrrr              0.507          0.493          0.000          
Q:J:rrrc                 0.066          0.436          0.498          
Q:J:rrrcc                0.304          0.616          0.080          
Q:J:rrrccr               0.201          0.410          0.389          
Q:J:rrrccrr              0.911          0.080          0.009          
Q:J:rrrccrrr             0.250          0.047          0.703          
Q:J:rrrccrrrr            0.500          0.500          0.000          
Q:J:rrrcr                0.985          0.008          0.007          
Q:J:rrrcrr               0.150          0.807          0.043          
Q:J:rrrcrrr              0.391          0.087          0.522          
Q:J:rrrcrrrr             0.518          0.482          0.000          
Q:J:rrrrc                0.114          0.265          0.621          
Q:J:rrrrcc               0.009          0.861          0.129          
Q:J:rrrrccr              0.067          0.351          0.582          
Q:J:rrrrccrr             0.023          0.879          0.098          
Q:J:rrrrccrrr            0.038          0.115          0.847          
Q:J:rrrrccrrrr           0.353          0.647          0.000          
Q:J:rrrrcr               0.857          0.063          0.080          
Q:J:rrrrcrr              0.372          0.595          0.033          
Q:J:rrrrcrrr             0.177          0.121          0.702          
Q:J:rrrrcrrrr            0.396          0.604          0.000          
Q:K:cc                   0.002          0.903          0.095          
Q:K:ccc                  0.002          0.839          0.159          
Q:K:cccr                 0.108          0.888          0.003          
Q:K:cccrr                0.150          0.844          0.006          
Q:K:cccrrr               0.060          0.274          0.667          
Q:K:cccrrrr              0.331          0.669          0.000          
Q:K:ccr                  0.017          0.978          0.006          
Q:K:ccrr                 0.026          0.953          0.021          
Q:K:ccrrr                0.106          0.328          0.566          
Q:K:ccrrrr               0.148          0.852          0.000          
Q:K:crc                  0.010          0.945          0.045          
Q:K:crcc                 0.002          0.381          0.617          
Q:K:crccr                0.002          0.996          0.002          
Q:K:crccrr               0.001          0.997          0.001          
Q:K:crccrrr              0.036          0.139          0.825          
Q:K:crccrrrr             0.558          0.442          0.000          
Q:K:crcr                 0.048          0.833          0.119          
Q:K:crcrr                0.940          0.046          0.014          
Q:K:crcrrr               0.782          0.007          0.212          
Q:K:crcrrrr              0.173          0.827          0.000          
Q:K:crrc                 0.011          0.486          0.502          
Q:K:crrcc                0.000          0.991          0.008          
Q:K:crrccr               0.074          0.871          0.055          
Q:K:crrccrr              0.097          0.152          0.750          
Q:K:crrccrrr             0.047          0.363          0.590          
Q:K:crrccrrrr            0.021          0.979          0.000          
Q:K:crrcr                0.702          0.296          0.002          
Q:K:crrcrr               0.344          0.523          0.133          
Q:K:crrcrrr              0.120          0.301          0.580          
Q:K:crrcrrrr             0.028          0.972          0.000          
Q:K:crrrc                0.011          0.956          0.034          
Q:K:crrrcc               0.021          0.745          0.234          
Q:K:crrrccr              0.958          0.015          0.027          
Q:K:crrrccrr             0.016          0.084          0.901          
Q:K:crrrccrrr            0.027          0.074          0.899          
Q:K:crrrccrrrr           0.017          0.983          0.000          
Q:K:crrrcr               0.076          0.586          0.337          
Q:K:crrrcrr              0.091          0.609          0.300          
Q:K:crrrcrrr             0.010          0.320          0.670          
Q:K:crrrcrrrr            0.140          0.860          0.000          
Q:K:crrrrc               0.007          0.720          0.273          
Q:K:crrrrcc              0.006          0.308          0.686          
Q:K:crrrrccr             0.535          0.383          0.082          
Q:K:crrrrccrr            0.003          0.921          0.076          
Q:K:crrrrccrrr           0.068          0.338          0.595          
Q:K:crrrrccrrrr          0.020          0.980          0.000          
Q:K:crrrrcr              0.006          0.935          0.059          
Q:K:crrrrcrr             0.566          0.217          0.216          
Q:K:crrrrcrrr            0.033          0.336          0.631          
Q:K:crrrrcrrrr           0.020          0.980          0.000          
Q:K:rc                   0.002          0.853          0.145          
Q:K:rcc                  0.001          0.879          0.120          
Q:K:rccr                 0.008          0.969          0.023          
Q:K:rccrr                0.008          0.654          0.338          
Q:K:rccrrr               0.429          0.395          0.175          
Q:K:rccrrrr              0.005          0.995          0.000          
Q:K:rcr                  0.019          0.977          0.004          
Q:K:rcrr                 0.205          0.779          0.015          
Q:K:rcrrr                0.101          0.164          0.734          
Q:K:rcrrrr               0.172          0.828          0.000          
Q:K:rrc                  0.512          0.449          0.039          
Q:K:rrcc                 0.005          0.018          0.977          
Q:K:rrccr                0.417          0.577          0.006          
Q:K:rrccrr               0.487          0.498          0.015          
Q:K:rrccrrr              0.030          0.058          0.912          
Q:K:rrccrrrr             0.080          0.920          0.000          
Q:K:rrcr                 0.324          0.507          0.169          
Q:K:rrcrr                0.292          0.680          0.028          
Q:K:rrcrrr               0.377          0.419          0.205          
Q:K:rrcrrrr              0.122          0.878          0.000          
Q:K:rrrc                 0.066          0.447          0.487          
Q:K:rrrcc                0.002          0.991          0.007          
Q:K:rrrccr               0.045          0.565          0.390          
Q:K:rrrccrr              0.083          0.445          0.472          
Q:K:rrrccrrr             0.079          0.447          0.473          
Q:K:rrrccrrrr            0.081          0.919          0.000          
Q:K:rrrcr                0.891          0.102          0.007          
Q:K:rrrcrr               0.047          0.450          0.502          
Q:K:rrrcrrr              0.083          0.257          0.660          
Q:K:rrrcrrrr             0.054          0.946          0.000          
Q:K:rrrrc                0.036          0.466          0.498          
Q:K:rrrrcc               0.009          0.725          0.266          
Q:K:rrrrccr              0.024          0.749          0.227          
Q:K:rrrrccrr             0.012          0.907          0.081          
Q:K:rrrrccrrr            0.038          0.207          0.755          
Q:K:rrrrccrrrr           0.108          0.892          0.000          
Q:K:rrrrcr               0.797          0.100          0.102          
Q:K:rrrrcrr              0.025          0.520          0.455          
Q:K:rrrrcrrr             0.029          0.231          0.740          
Q:K:rrrrcrrrr            0.024          0.976          0.000          
Q:Q:cc                   0.002          0.730          0.268          
Q:Q:ccc                  0.002          0.002          0.996          
Q:Q:cccr                 0.000          0.000          0.998          
Q:Q:cccrr                0.000          0.000          0.999          
Q:Q:cccrrr               0.000          0.218          0.781          
Q:Q:cccrrrr              0.000          1.000          0.000          
Q:Q:ccr                  0.002          0.002          0.996          
Q:Q:ccrr                 0.002          0.101          0.897          
Q:Q:ccrrr                0.000          0.002          0.997          
Q:Q:ccrrrr               0.001          0.999          0.000          
Q:Q:crc                  0.000          0.127          0.873          
Q:Q:crcc                 0.002          0.013          0.985          
Q:Q:crccr                0.002          0.003          0.996          
Q:Q:crccrr               0.000          0.248          0.751          
Q:Q:crccrrr              0.000          0.284          0.715          
Q:Q:crccrrrr             0.000          1.000          0.000          
Q:Q:crcr                 0.002          0.182          0.815          
Q:Q:crcrr                0.000          0.000          0.999          
Q:Q:crcrrr               0.000          0.300          0.699          
Q:Q:crcrrrr              0.000          1.000          0.000          
Q:Q:crrc                 0.012          0.585          0.403          
Q:Q:crrcc                0.000          0.002          0.997          
Q:Q:crrccr               0.007          0.028          0.965          
Q:Q:crrccrr              0.000          0.000          0.999          
Q:Q:crrccrrr             0.002          0.269          0.729          
Q:Q:crrccrrrr            0.000          1.000          0.000          
Q:Q:crrcr                0.000          0.001          0.998          
Q:Q:crrcrr               0.010          0.063          0.927          
Q:Q:crrcrrr              0.000          0.001          0.999          
Q:Q:crrcrrrr             0.005          0.995          0.000          
Q:Q:crrrc                0.010          0.043          0.947          
Q:Q:crrrcc               0.012          0.057          0.931          
Q:Q:crrrccr              0.080          0.084          0.836          
Q:Q:crrrccrr             0.004          0.023          0.973          
Q:Q:crrrccrrr            0.026          0.027          0.948          
Q:Q:crrrccrrrr           0.005          0.995          0.000          
Q:Q:crrrcr               0.012          0.107          0.881          
Q:Q:crrrcrr              0.003          0.003          0.994          
Q:Q:crrrcrrr             0.004          0.319          0.676          
Q:Q:crrrcrrrr            0.001          0.999          0.000          
Q:Q:crrrrc               0.006          0.860          0.134          
Q:Q:crrrrcc              0.005          0.021          0.974          
Q:Q:crrrrccr             0.002          0.042          0.957          
Q:Q:crrrrccrr            0.002          0.006          0.992          
Q:Q:crrrrccrrr           0.000          0.024          0.975          
Q:Q:crrrrccrrrr          0.001          0.999          0.000          
Q:Q:crrrrcr              0.005          0.034          0.961          
Q:Q:crrrrcrr             0.014          0.287          0.698          
Q:Q:crrrrcrrr            0.003          0.026          0.971          
Q:Q:crrrrcrrrr           0.008          0.992          0.000          
Q:Q:rc                   0.002          0.390          0.608          
Q:Q:rcc                  0.001          0.002          0.997          
Q:Q:rccr                 0.002          0.003          0.995          
Q:Q:rccrr                0.000          0.000          0.999          
Q:Q:rccrrr               0.000          0.002          0.997          
Q:Q:rccrrrr              0.000          1.000          0.000          
Q:Q:rcr                  0.001          0.002          0.997          
Q:Q:rcrr                 0.001          0.004          0.995          
Q:Q:rcrrr                0.000          0.001          0.998          
Q:Q:rcrrrr               0.000          0.999          0.000          
Q:Q:rrc                  0.000          0.080          0.920          
Q:Q:rrcc                 0.005          0.014          0.981          
Q:Q:rrccr                0.003          0.004          0.994          
Q:Q:rrccrr               0.002          0.006          0.992          
Q:Q:rrccrrr              0.001          0.004          0.995          
Q:Q:rrccrrrr             0.000          0.999          0.000          
Q:Q:rrcr                 0.005          0.013          0.982          
Q:Q:rrcrr                0.000          0.000          0.999          
Q:Q:rrcrrr               0.002          0.008          0.991          
Q:Q:rrcrrrr              0.000          1.000          0.000          
Q:Q:rrrc                 0.067          0.195          0.738          
Q:Q:rrrcc                0.002          0.005          0.993          
Q:Q:rrrccr               0.111          0.323          0.566          
Q:Q:rrrccrr              0.000          0.002          0.998          
Q:Q:rrrccrrr             0.067          0.286          0.647          
Q:Q:rrrccrrrr            0.000          1.000          0.000          
Q:Q:rrrcr                0.002          0.004          0.994          
Q:Q:rrrcrr               0.031          0.099          0.869          
Q:Q:rrrcrrr              0.000          0.002          0.997          
Q:Q:rrrcrrrr             0.018          0.982          0.000          
Q:Q:rrrrc                0.035          0.163          0.802          
Q:Q:rrrrcc               0.009          0.066          0.925          
Q:Q:rrrrccr              0.060          0.242          0.698          
Q:Q:rrrrccrr             0.003          0.008          0.989          
Q:Q:rrrrccrrr            0.034          0.327          0.638          
Q:Q:rrrrccrrrr           0.002          0.998          0.000          
Q:Q:rrrrcr               0.009          0.069          0.922          
Q:Q:rrrrcrr              0.015          0.069          0.916          
Q:Q:rrrrcrrr             0.003          0.031          0.966          
Q:Q:rrrrcrrrr            0.010          0.990          0.000          
