Indexer Initialized. Flattened 840 sets into vectors of size 2520

Building Static Game Trees in RAM...
Detected 10 CPU Cores.
Starting multithreaded CFR Training (10000000 games total)...

Time:  13.9738 seconds
Speed: 715623 games/sec

Training Complete.

=== LEARNED STRATEGY (Atomic Based) ===
Info Set (Card:Hist)     Fold           Call/Check     Bet/Raise      
J:K:crrcrrrr             0.500          0.500          0.000          
J:K:crrrc                0.821          0.153          0.026          
J:K:crrrcc               0.007          0.945          0.048          
J:K:crrrccr              0.701          0.134          0.165          
J:K:crrrccrr             0.775          0.135          0.090          
J:K:crrrccrrr            0.068          0.068          0.864          
J:K:crrrccrrrr           0.293          0.707          0.000          
J:K:crrrcr               0.432          0.294          0.275          
J:K:crrrcrr              0.416          0.397          0.186          
J:K:crrrcrrr             0.977          0.008          0.015          
J:K:crrrcrrrr            0.519          0.481          0.000          
J:K:crrrrc               0.120          0.633          0.247          
J:K:crrrrcc              0.004          0.351          0.645          
J:K:crrrrccr             0.628          0.172          0.200          
J:K:crrrrccrr            0.552          0.444          0.003          
J:K:crrrrccrrr           0.800          0.041          0.160          
J:K:crrrrccrrrr          0.649          0.351          0.000          
J:K:crrrrcr              0.427          0.552          0.021          
J:K:crrrrcrr             0.369          0.493          0.138          
J:K:crrrrcrrr            0.618          0.104          0.278          
J:K:crrrrcrrrr           0.715          0.285          0.000          
J:K:rc                   0.005          0.038          0.957          
J:K:rcc                  0.001          0.965          0.034          
J:K:rccr                 0.920          0.040          0.040          
J:K:rccrr                0.977          0.011          0.012          
J:K:rccrrr               0.333          0.333          0.333          
J:K:rccrrrr              0.526          0.474          0.000          
J:K:rcr                  0.998          0.001          0.001          
J:K:rcrr                 0.997          0.002          0.002          
J:K:rcrrr                0.327          0.327          0.345          
J:K:rcrrrr               0.500          0.500          0.000          
J:K:rrc                  0.442          0.532          0.026          
J:K:rrcc                 0.021          0.094          0.885          
J:K:rrccr                0.978          0.019          0.003          
J:K:rrccrr               0.954          0.034          0.012          
J:K:rrccrrr              0.234          0.116          0.651          
J:K:rrccrrrr             0.359          0.641          0.000          
J:K:rrcr                 0.640          0.023          0.338          
J:K:rrcrr                0.956          0.022          0.022          
J:K:rrcrrr               0.959          0.020          0.020          
J:K:rrcrrrr              0.500          0.500          0.000          
J:K:rrrc                 0.011          0.023          0.966          
J:K:rrrcc                0.315          0.653          0.032          
J:K:rrrccr               0.167          0.228          0.606          
J:K:rrrccrr              0.205          0.648          0.147          
J:K:rrrccrrr             0.079          0.079          0.842          
J:K:rrrccrrrr            0.590          0.410          0.000          
J:K:rrrcr                0.765          0.206          0.028          
J:K:rrrcrr               0.627          0.366          0.007          
J:K:rrrcrrr              0.148          0.145          0.707          
J:K:rrrcrrrr             0.760          0.240          0.000          
J:K:rrrrc                0.849          0.081          0.070          
J:K:rrrrcc               0.020          0.481          0.500          
J:K:rrrrccr              0.548          0.276          0.176          
J:K:rrrrccrr             0.274          0.495          0.231          
J:K:rrrrccrrr            0.038          0.107          0.855          
J:K:rrrrccrrrr           0.026          0.974          0.000          
J:K:rrrrcr               0.639          0.070          0.291          
J:K:rrrrcrr              0.908          0.043          0.049          
J:K:rrrrcrrr             0.255          0.359          0.386          
J:K:rrrrcrrrr            0.408          0.592          0.000          
J:Q:cc                   0.001          0.955          0.044          
J:Q:ccc                  0.002          0.689          0.309          
J:Q:cccr                 0.999          0.000          0.000          
J:Q:cccrr                0.996          0.002          0.002          
J:Q:cccrrr               0.333          0.333          0.333          
J:Q:cccrrrr              0.500          0.500          0.000          
J:Q:ccr                  0.963          0.002          0.035          
J:Q:ccrr                 0.980          0.010          0.010          
J:Q:ccrrr                0.963          0.019          0.019          
J:Q:ccrrrr               0.500          0.500          0.000          
J:Q:crc                  0.199          0.651          0.150          
J:Q:crcc                 0.002          0.264          0.734          
J:Q:crccr                0.970          0.020          0.010          
J:Q:crccrr               0.924          0.009          0.067          
J:Q:crccrrr              0.987          0.007          0.007          
J:Q:crccrrrr             0.994          0.006          0.000          
J:Q:crcr                 0.966          0.031          0.002          
J:Q:crcrr                0.998          0.001          0.001          
J:Q:crcrrr               0.321          0.321          0.357          
J:Q:crcrrrr              0.500          0.500          0.000          
J:Q:crrc                 0.024          0.270          0.707          
J:Q:crrcc                0.000          0.320          0.679          
J:Q:crrccr               0.938          0.031          0.031          
J:Q:crrccrr              0.999          0.000          0.000          
J:Q:crrccrrr             0.333          0.333          0.333          
J:Q:crrccrrrr            0.554          0.446          0.000          
J:Q:crrcr                0.048          0.453          0.499          
J:Q:crrcrr               0.976          0.013          0.011          
J:Q:crrcrrr              0.998          0.000          0.001          
J:Q:crrcrrrr             0.500          0.500          0.000          
J:Q:crrrc                0.076          0.052          0.872          
J:Q:crrrcc               0.007          0.756          0.237          
J:Q:crrrccr              0.079          0.234          0.687          
J:Q:crrrccrr             0.333          0.647          0.020          
J:Q:crrrccrrr            0.034          0.034          0.932          
J:Q:crrrccrrrr           0.736          0.264          0.000          
J:Q:crrrcr               0.111          0.423          0.466          
J:Q:crrrcrr              0.986          0.008          0.006          
J:Q:crrrcrrr             0.609          0.356          0.034          
J:Q:crrrcrrrr            0.500          0.500          0.000          
J:Q:crrrrc               0.241          0.388          0.371          
J:Q:crrrrcc              0.003          0.990          0.007          
J:Q:crrrrccr             0.098          0.236          0.666          
J:Q:crrrrccrr            0.203          0.346          0.450          
J:Q:crrrrccrrr           0.007          0.013          0.980          
J:Q:crrrrccrrrr          0.446          0.554          0.000          
J:Q:crrrrcr              0.413          0.578          0.009          
J:Q:crrrrcrr             0.543          0.272          0.186          
J:Q:crrrrcrrr            0.126          0.125          0.749          
J:Q:crrrrcrrrr           0.897          0.103          0.000          
J:Q:rc                   0.004          0.381          0.615          
J:Q:rcc                  0.002          0.722          0.277          
J:Q:rccr                 0.987          0.008          0.005          
J:Q:rccrr                0.997          0.001          0.002          
J:Q:rccrrr               0.221          0.221          0.558          
J:Q:rccrrrr              0.532          0.468          0.000          
J:Q:rcr                  0.796          0.105          0.099          
J:Q:rcrr                 0.995          0.002          0.002          
J:Q:rcrrr                0.992          0.004          0.004          
J:Q:rcrrrr               0.500          0.500          0.000          
J:Q:rrc                  0.090          0.266          0.644          
J:Q:rrcc                 0.020          0.144          0.836          
J:Q:rrccr                0.562          0.233          0.205          
J:Q:rrccrr               0.967          0.022          0.012          
J:Q:rrccrrr              0.991          0.004          0.006          
J:Q:rrccrrrr             0.652          0.348          0.000          
J:Q:rrcr                 0.902          0.067          0.031          
J:Q:rrcrr                0.998          0.000          0.000          
J:Q:rrcrrr               0.230          0.217          0.553          
J:Q:rrcrrrr              0.500          0.500          0.000          
J:Q:rrrc                 0.012          0.149          0.839          
J:Q:rrrcc                0.165          0.806          0.029          
J:Q:rrrccr               0.552          0.360          0.088          
