Indexer Initialized. Flattened 840 sets into vectors of size 2520

Building Static Game Trees in RAM...
Detected 10 CPU Cores.
Starting multithreaded CFR Training (10000000 games total)...

Time:  1.02184 seconds
Speed: 9.78626e+06 games/sec

Training Complete.

=== LEARNED STRATEGY (Vector Based) ===
Info Set (Card:Hist)     Fold           Call/Check     Bet/Raise      
J:K:crrcrrrr             0.632          0.368          0.000          
J:K:crrrc                0.222          0.773          0.006          
J:K:crrrcc               0.033          0.243          0.725          
J:K:crrrccr              0.997          0.001          0.002          
J:K:crrrccrr             0.774          0.133          0.093          
J:K:crrrccrrr            0.287          0.147          0.565          
J:K:crrrccrrrr           0.826          0.174          0.000          
J:K:crrrcr               0.605          0.228          0.168          
J:K:crrrcrr              0.825          0.094          0.081          
J:K:crrrcrrr             0.477          0.155          0.368          
J:K:crrrcrrrr            0.591          0.409          0.000          
J:K:crrrrc               0.175          0.643          0.182          
J:K:crrrrcc              0.186          0.436          0.378          
J:K:crrrrccr             0.735          0.094          0.171          
J:K:crrrrccrr            0.630          0.315          0.055          
J:K:crrrrccrrr           0.106          0.087          0.807          
J:K:crrrrccrrrr          0.294          0.706          0.000          
J:K:crrrrcr              0.638          0.129          0.233          
J:K:crrrrcrr             0.562          0.158          0.280          
J:K:crrrrcrrr            0.349          0.288          0.363          
J:K:crrrrcrrrr           0.375          0.625          0.000          
J:K:rc                   0.000          0.397          0.602          
J:K:rcc                  0.001          0.914          0.085          
J:K:rccr                 0.982          0.000          0.017          
J:K:rccrr                0.962          0.007          0.031          
J:K:rccrrr               0.928          0.024          0.048          
J:K:rccrrrr              0.990          0.010          0.000          
J:K:rcr                  0.999          0.000          0.000          
J:K:rcrr                 0.997          0.000          0.003          
J:K:rcrrr                0.824          0.050          0.126          
J:K:rcrrrr               0.976          0.024          0.000          
J:K:rrc                  0.104          0.869          0.027          
J:K:rrcc                 0.006          0.015          0.979          
J:K:rrccr                0.999          0.000          0.000          
J:K:rrccrr               0.984          0.012          0.004          
J:K:rrccrrr              0.600          0.075          0.325          
J:K:rrccrrrr             0.447          0.553          0.000          
J:K:rrcr                 0.791          0.056          0.153          
J:K:rrcrr                0.990          0.005          0.006          
J:K:rrcrrr               0.984          0.004          0.012          
J:K:rrcrrrr              0.444          0.556          0.000          
J:K:rrrc                 0.178          0.352          0.469          
J:K:rrrcc                0.161          0.809          0.029          
J:K:rrrccr               0.711          0.075          0.214          
J:K:rrrccrr              0.758          0.099          0.143          
J:K:rrrccrrr             0.250          0.225          0.525          
J:K:rrrccrrrr            0.927          0.073          0.000          
J:K:rrrcr                0.985          0.007          0.007          
J:K:rrrcrr               0.762          0.020          0.218          
J:K:rrrcrrr              0.686          0.111          0.203          
J:K:rrrcrrrr             0.930          0.070          0.000          
J:K:rrrrc                0.043          0.690          0.267          
J:K:rrrrcc               0.082          0.401          0.517          
J:K:rrrrccr              0.688          0.145          0.167          
J:K:rrrrccrr             0.188          0.337          0.475          
J:K:rrrrccrrr            0.170          0.158          0.672          
J:K:rrrrccrrrr           0.501          0.499          0.000          
J:K:rrrrcr               0.688          0.125          0.186          
J:K:rrrrcrr              0.613          0.197          0.190          
J:K:rrrrcrrr             0.523          0.136          0.341          
J:K:rrrrcrrrr            0.844          0.156          0.000          
J:Q:cc                   0.000          0.841          0.159          
J:Q:ccc                  0.000          0.681          0.318          
J:Q:cccr                 1.000          0.000          0.000          
J:Q:cccrr                0.999          0.000          0.000          
J:Q:cccrrr               0.103          0.103          0.795          
J:Q:cccrrrr              0.500          0.500          0.000          
J:Q:ccr                  0.997          0.002          0.000          
J:Q:ccrr                 0.999          0.000          0.000          
J:Q:ccrrr                0.809          0.037          0.155          
J:Q:ccrrrr               0.443          0.557          0.000          
J:Q:crc                  0.253          0.534          0.213          
J:Q:crcc                 0.000          0.009          0.991          
J:Q:crccr                0.983          0.014          0.003          
J:Q:crccrr               0.998          0.000          0.001          
J:Q:crccrrr              0.960          0.003          0.037          
J:Q:crccrrrr             0.935          0.065          0.000          
J:Q:crcr                 0.997          0.002          0.001          
J:Q:crcrr                1.000          0.000          0.000          
J:Q:crcrrr               0.640          0.057          0.304          
J:Q:crcrrrr              0.529          0.471          0.000          
J:Q:crrc                 0.002          0.885          0.113          
J:Q:crrcc                0.001          0.962          0.037          
J:Q:crrccr               0.925          0.005          0.071          
J:Q:crrccrr              0.964          0.032          0.004          
J:Q:crrccrrr             0.979          0.010          0.011          
J:Q:crrccrrrr            0.417          0.583          0.000          
J:Q:crrcr                0.841          0.093          0.065          
J:Q:crrcrr               0.982          0.008          0.010          
J:Q:crrcrrr              0.996          0.000          0.003          
J:Q:crrcrrrr             0.441          0.559          0.000          
J:Q:crrrc                0.017          0.970          0.013          
J:Q:crrrcc               0.138          0.633          0.229          
J:Q:crrrccr              0.942          0.053          0.005          
J:Q:crrrccrr             0.181          0.508          0.311          
J:Q:crrrccrrr            0.398          0.090          0.512          
J:Q:crrrccrrrr           0.345          0.655          0.000          
J:Q:crrrcr               0.454          0.184          0.362          
J:Q:crrrcrr              0.818          0.072          0.110          
J:Q:crrrcrrr             0.655          0.110          0.235          
J:Q:crrrcrrrr            0.625          0.375          0.000          
J:Q:crrrrc               0.126          0.639          0.235          
J:Q:crrrrcc              0.182          0.580          0.239          
J:Q:crrrrccr             0.700          0.039          0.261          
J:Q:crrrrccrr            0.547          0.249          0.203          
J:Q:crrrrccrrr           0.054          0.054          0.892          
J:Q:crrrrccrrrr          0.258          0.742          0.000          
J:Q:crrrrcr              0.548          0.284          0.167          
J:Q:crrrrcrr             0.517          0.073          0.410          
J:Q:crrrrcrrr            0.371          0.207          0.422          
J:Q:crrrrcrrrr           0.656          0.344          0.000          
J:Q:rc                   0.001          0.639          0.360          
J:Q:rcc                  0.001          0.883          0.116          
J:Q:rccr                 0.999          0.000          0.000          
J:Q:rccrr                0.996          0.002          0.001          
J:Q:rccrrr               0.195          0.195          0.609          
J:Q:rccrrrr              0.500          0.500          0.000          
J:Q:rcr                  0.995          0.004          0.002          
J:Q:rcrr                 0.999          0.000          0.000          
J:Q:rcrrr                0.931          0.009          0.059          
J:Q:rcrrrr               0.500          0.500          0.000          
J:Q:rrc                  0.000          0.837          0.162          
J:Q:rrcc                 0.003          0.102          0.895          
J:Q:rrccr                0.941          0.053          0.006          
J:Q:rrccrr               0.949          0.035          0.016          
J:Q:rrccrrr              0.853          0.007          0.140          
J:Q:rrccrrrr             0.915          0.085          0.000          
J:Q:rrcr                 0.800          0.011          0.189          
J:Q:rrcrr                0.986          0.003          0.011          
J:Q:rrcrrr               0.984          0.007          0.009          
J:Q:rrcrrrr              0.900          0.100          0.000          
J:Q:rrrc                 0.047          0.494          0.459          
